,add_title,add_price,add_area_val,add_bed_val,add_bath_val,add_park_val
153,Apartments in Punta Pacífica | Se Vende | Increíbles Vistas Al Mar | 2 Bdrm en El Ocean Club (Trump),"B/.550,000.00",153,2,2.5,1
154,Apartments in San Francisco | Se vende apartamento San Francisco. Ph Waterview,"B/.245,000.00",125,2,3,1
155,Apartments in Rio Abajo | ALQUILER APATAMENTO REMODELADO VILLA LORENA $ 350.00,"B/.350.00
 (Reduced 8%)",45,2,1,NaN
156,"Apartments in Punta Pacífica | Se vende apartamento en Punta Pacífica, Ph Pacific Sky","B/.220,000.00",125,2,3,1
157,Apartments in Costa del Este | Apartamento - Vista al Mar - Matisse - Costa del Este - Oportunidad,"B/.839,999.00
 (Reduced 1%)",337,3,4,3
158,Apartments in Punta Pacífica | Se Vende | Oportunidad de Inversión | 3 Bdrm in The Ocean Club (Trump),"B/.725,000.00",183,3,2.5,1
159,Apartments in Punta Pacífica | Se Vende Lujoso Apartamento de 2 Recamaras en El The Ocean Club (Trump),"B/.749,000.00",183,2,2.5,1
160,"Apartments in Punta Pacífica | Se vende apartamento en Punta Pacífica, Ph Oasis On The Bay","B/.553,000.00",299,3,3,2
161,Apartments in San Francisco | Citrus San Francisco en venta,"B/.145,000.00",81,1,1,1
162,Apartments in El Cangrejo | ****GANGA****VENDO EN PH 44PAKR OPORTUNIDAD,"B/.195,000.00",150,3,3,2
163,Apartments in Condado del Rey | Ganga venta apartamento en condado del rey,"B/.155,000.00",105,2,2,1
164,Apartments in Punta Pacífica | OCEANAIRE - PUNTA PACIFICA,"B/.550,000.00",228,3,3,2
165,Apartments in Punta Pacífica | Se Vende Apartamento Bayloft en El The Ocean Club (Antiguo Trump) Punta Pacifica,"B/.399,000.00",105,1,1.5,1
166,Apartments in Avenida Balboa | Spectacular new project located in Bella Vista,"B/.564,000.00",205,3,3.5,2
167,Apartments in El Cangrejo | For Sale aparment in el Cangrejo PH Harmony,"B/.265,000.00",168.86,2,2,1
168,Apartments in San Francisco | San Francisco Pelican Bay,"B/.197,500.00",138.6,3,2,2
169,"Apartments in San Francisco | Venta de Apartamento ideal para familias que desean privacidad, seguridad y confort.","B/.600,000.00
 (Reduced 8%)",589,4,4.5,3
170,Apartments in Punta Pacífica | Se Vende Lujoso Apto con Increible Vistas en El The Ocean Club Antiguo Trump,"B/.750,000.00",183,3,2.5,1
171,Apartments in Punta Pacífica | JW MARRIOT (ANTIGUO TRUMP) / PUNTA PACIFICA,"B/.524,000.00",153,2,2,1
172,Apartments in Dos Mares | PH PACIFIC HILL / DOS MARES / AMOBLADO,"B/.550,000.00",380,3,3,3
173,Apartments in San Francisco | SAN FRANCISCO BAY / VENTA,"B/.250,000.00",116,2,2,2
174,Apartments in Costa del Este | SEVILLA / COSTA DEL ESTE / ALQUILER-VENTA,"B/.290,000.00",188,3,4,2
175,Apartments in Costa del Este | TOP TOWERS / COSTA DEL ESTE / ALQUILER-VENTA,"B/.391,000.00",145,3,3,2
176,Apartments in Avenida Balboa | NUOVO / AV BALBOA / A ESTRENAR!!,"B/.370,000.00",104,2,2,1
177,Apartments in Punta Pacífica | BAHIA PACIFICA / PUNTA PACIFICA / VENTA,"B/.1,200,000.00",445,4,6,3
178,Apartments in San Francisco | WINDOWS TOWER / SAN FRANCISCO / AMOBLADO,"B/.320,000.00",177,2,2,3
179,Apartments in Clayton | CLAYTON / VENTA O ALQUILER,"B/.240,000.00",160,3,2,1
180,Apartments in Punta Paitilla | Venta Apartamento Pacific Sun Punta Paitilla,"B/.180,000.00",110,2,2,1
181,Apartments in Costa del Este | Vendo Apartamento en Costa del Este en Ph Matisse,"B/.915,000.00",342,4,3.5,3
182,Apartments in Santa María | Apartments and Houses in Santa Maria. The best properties.,"B/.1,100,000.00",411,4,3.5,4
183,Apartments in Coco del Mar | VERANDA TOWER for Sale - Coco del Mar,"B/.333,000.00",170,3,3.5,2
184,Apartments in Villa Cáceres | SE VENDE APTO EN PH COLONIAL TOWER VILLA CACERES,"B/.100,000.00",66.84,2,1,1
185,Apartments in San Miguelito | Hermoso ph,"B/.85,000.00
 (Reduced 11%)",250,2,2,1
186,"Apartments in Villa de las Fuentes | VENTA APTO. PH FOUNTAIN VIEW, VILLA DE LA FUENTES No. 1","B/.170,000.00",98,2,2,2
187,Apartments in Avenida Balboa | Green View Ave Balboa - Alquiler,"B/.1,200.00",111.04,2,2,1
188,Apartments in Hato Pintado | APARTMENT IN FRONT OF THE METRO STATION AT ONLY US$119999,"B/.119,999.00
 (Reduced 4%)",85,3,2,1
189,Apartments in Punta Pacífica | Espectacular Apartamento de Lujo en Venta en Ocean Reef Island,"B/.1,240,000.00",326,3,3.5,2
190,"Apartments in El Bosque | Apartamento nuevo ubicado en Greenwood tower 85.6mts $230,000","B/.230,000.00",85,3,2,1
191,Apartments in Punta Pacífica | DUPONT - PUNTA PACIFICA,"B/.429,000.00",217,2,2.5,2
192,Apartments in Bella Vista | VENDO APARTAMENTO BELLA VISTA,"B/.185,000.00
 (Reduced 8%)",125,3,3,2
193,"Apartments in Coco del Mar | Se vende Penthouse en Coco del Mar, Ph Sobre Las Rocas","B/.790,000.00",760,3,5,3
194,Apartments in San Francisco | KEOPS TOWER | SAN FRANCISCO,"B/.425,000.00",200,2,2.5,2
195,"Apartments in El Cangrejo | Se vende apartamento en el Cangrejo, Ph Vitro Loft","B/.220,000.00",110,1,1.5,1
196,"Apartments in Punta Pacífica | FOR SALE APARTMENT PH DUPONT, PUNTA PACÍFICA (2)","B/.250,000.00",126,1,2,1
197,Apartments in Avenida Balboa | WHITE - AVENIDA BALBOA,"B/.265,000.00",121,2,2,1
198,"Apartments in Punta Paitilla | Se vende apartamento en Punta Paitilla, Ph Deluxe Residences","B/.665,000.00",290,2,4,2
199,"Apartments in Condado del Rey | Se vende apartamento en Condado del Rey, Ph Kings Park","B/.165,000.00",85,2,2,1
200,Apartments in Punta Paitilla | Penthouse en Ocean Front Punta Paitilla,"B/.1,534,000.00",565,5,6,4
201,Apartments in Juan Diaz | PH SEVILLA - COSTA DEL ESTE - SALE/RENT - DUPLEX,"B/.345,000.00",300,3,3,NaN
202,Apartments in Juan Diaz | PH SEVILLA - COSTA DEL ESTE - SALE/RENT - APARTMENT,"B/.291,400.00",188,3,2,NaN
203,Apartments in San Francisco | PH OASIS ON THE BAY - PUNTA PACIFICA - FOR SALE / FOR RENT - APARTMENT,"B/.538,200.00",299,2,2,NaN
204,Apartments in San Francisco | PH OASIS ON THE BAY - PUNTA PACIFICA - FOR SALE / FOR RENT - APARTMENT,"B/.432,000.00",240,2,2,NaN
205,Apartments in Punta Paitilla | Venta Apartamento Deluxe Punta Paitilla,"B/.650,000.00",290,2,4,2
206,Apartments in Punta Pacífica | Vendo Apartamento en PH Dupont Punta Pacifica,"B/.240,000.00",126,1,2,1
207,Apartments in Parque Lefevre | Venta de Apartamento Parque Lindo II A.M.,"B/.125,000.00
 (Reduced 3%)",75,2,2,1
208,"Apartments in Carrasquilla | En venta apartamento en PH Coral Tower, Carrasquilla, Corregimiento San Francisco","B/.148,000.00",70,2,2,1
209,Apartments in Punta Pacífica | Apartment for sale in Punta Pacifica. Dp 2-10260,"B/.475,000.00",217,3,2.5,2
210,Apartments in Punta Pacífica | Sale of Luxury Apartment in Punta Pacifica.,"B/.1,250,000.00",433,3,3.5,3
211,"Apartments in Santa María | Se vende apartamento en Santa María, Empire Residences","B/.899,000.00",322,3,4,2
212,"Apartments in Punta Pacífica | Se vende apartamento en Ocean Reef Island, The Palms Beach Resort","B/.625,914.00",141,2,2.5,2
213,"Apartments in Punta Pacífica | Se vende apartamento en Ocean Reef Island, Ph Gardens Apartments","B/.1,400,000.00",326,3,3.5,3
214,"Apartments in Punta Pacífica | Se vende apartamento en Ocean Reef Island, Ph Gardens Apartments","B/.1,340,000.00",322,3,3,3
215,"Apartments in Costa del Este | Se vende apartamento en Costa del Este, Ph Upper East Tower","B/.1,502,200.00",406,3,3,2
