price,area,beds,baths,parkings
419000.0,203.0,3,4.0,2
82000.0,55.0,3,1.0,1
760000.0,317.0,4,4.0,2
650000.0,167.47,2,2.0,2
250000.0,167.0,3,2.5,2
169000.0,123.0,3,3.0,2
570000.0,280.0,3,3.5,2
380000.0,200.0,3,3.5,2
240000.0,155.0,3,2.5,2
288000.0,114.0,2,2.0,2
164000.0,89.0,2,2.0,2
300000.0,141.0,1,1.5,1
750000.0,525.0,4,4.5,5
180000.0,119.0,3,3.0,2
580000.0,306.0,3,3.5,2
178000.0,125.0,2,2.0,1
175000.0,138.0,3,2.0,2
175000.0,129.0,2,3.0,2
235000.0,125.0,1,1.5,1
175000.0,120.0,3,3.0,2
380000.0,176.0,3,2.0,2
700000.0,290.0,3,3.5,3
760000.0,317.0,4,4.0,2
205000.0,90.0,1,1.5,1
230000.0,147.0,3,3.0,2
209000.0,118.0,2,2.0,2
160000.0,115.0,3,2.0,1
1900000.0,690.0,4,4.5,3
549900.0,307.0,3,3.5,2
150000.0,98.0,3,3.0,2
220000.0,152.0,3,3.0,2
125000.0,75.0,2,2.0,1
285000.0,156.0,3,3.0,2
367500.0,150.0,2,3.0,1
185000.0,117.0,2,2.0,1
360000.0,198.0,3,3.0,2
1200000.0,411.0,3,3.0,3
115000.0,74.0,2,2.0,1
1000000.0,455.0,4,5.0,4
730000.0,323.0,3,3.0,3
580000.0,185.0,3,3.0,1
550000.0,208.0,3,3.0,2
358000.0,110.0,3,2.0,2
118000.0,75.0,2,2.0,1
340000.0,188.0,3,4.0,2
190000.0,150.0,3,2.0,2
215000.0,118.0,3,3.0,2
335000.0,184.0,2,4.0,2
335000.0,136.0,3,3.0,2
330000.0,286.0,3,3.5,2
300000.0,138.0,3,2.0,2
150000.0,92.0,2,2.0,1
290000.0,160.0,3,3.0,2
257000.0,113.0,2,2.0,1
175000.0,97.0,2,2.0,1
165000.0,80.0,1,1.0,1
175000.0,95.0,2,3.0,2
189000.0,96.0,4,3.0,1
165000.0,120.0,2,2.0,1
190000.0,97.0,3,3.0,1
229000.0,89.0,1,1.5,1
145000.0,80.0,2,2.0,1
877500.0,332.0,4,4.5,2
930000.0,360.0,4,4.5,3
305000.0,129.0,3,2.0,2
115000.0,75.0,3,2.0,1
