,add_title,add_price,add_area_val,add_bed_val,add_bath_val,add_park_val
125,"Apartments in San Francisco | SAN FRANCISCO AMPLIO APARTAMENTO DE 150 M2 impecable ! U$ 250,000.= 3 parkings.","B/.250,000.00",150,3,3,3
126,Apartments in Punta Paitilla | APARTAMENTO VENTA PUNTA PAITILLA PH PERLA DEL PACÍFICO,"B/.350,000.00",153,3,2,2
127,"Apartments in Clayton | En Venta Apartamento en Courtyard Residences, Embassy Club, Clayton","B/.400,000.00",190.75,3,3,2
128,Apartments in La Cresta | HERMOSO APARTAMENTO 4 RECAMARAS 496m2,"B/.495,000.00
 (Reduced 6%)",496,4,5,2
129,Apartments in Costa del Este | I AM SELLING A BEAUTIFUL APARTMENT WITH A SEA VIEW,"B/.235,000.00",115,2,2,1
130,Apartments in Villa Lucre | 12 octubre Ph Vista Marina Tower 125k,"B/.125,000.00",72,2,2,1
131,Apartments in Punta Pacífica | Apartamento en venta en Punta Pacifica 21-1987MMC,"B/.890,000.00",323,4,4,3
132,Apartments in Coco del Mar | Apartamento en venta en coco del Mar 22-1789MMC,"B/.445,000.00",164,3,3,2
133,Apartments in Punta Pacífica | Apartamento en venta en Punta Pacifica 21-2048 MMC,"B/.437,500.00",155,3,2,1
134,Apartments in Punta Pacífica | Apartamento en venta en Punta Pacifica 21-2013MMC,"B/.465,000.00",194,2,3,2
135,Apartments in Punta Pacífica | Apartamento en venta en Punta Pacifica 21-4749MMC,"B/.265,000.00",177,1,2,1
136,"Apartments in Casco Viejo, San Felipe | Apartment For Sale In PH Casa St George In Casco Viejo","B/.325,000.00",79,2,2,NaN
137,Apartments in Vía Cincuentenario | Ganga! Espectacular Apartamento Con Vista al Mar y Ciudad PH MILLENNIALS TORRE 100,"B/.135,000.00
 (Reduced 7%)",81,2,2,2
138,Apartments in Chanis | Parque Lefevre- Santa Elena- Se vende cómodo apartamento,"B/.70,000.00",71,2,1,1
139,Apartments in Costa del Este | Espectacular Apartamento - Primera Linea Costa del Este - 265 m² - Vista Al Mar,"B/.530,000.00",265,3,3.5,3
140,Apartments in Rio Abajo | ECONOMIC APARTMENT FOR SALE CITY TOWER,"B/.91,000.00",55.5,2,1,1
141,Apartments in Edison Park | Bank sells apartment in Ph Elmare,"B/.225,000.00",108,3,3,2
142,"Apartments in Obarrio | Se alquila apartamento en Obarrio, Ph Galería Uno","B/.1,600.00",169,3,2,2
143,Apartments in Costa del Este | Bank sells apartment in Ph Sol del Este,"B/.252,450.00",147,3,4,2
