,add_title,add_price,add_area_val,add_bed_val,add_bath_val,add_park_val
154,"Apartments in Casco Viejo, San Felipe | Casco Viejo: Panoramic Views from your Living Room","B/.1,692,420.00
 (Reduced 8%)",257.58,3,4.5,2
155,"Apartments in Casco Viejo, San Felipe | Casco Viejo: investment apartment plaza view","B/.215,000.00",58,1,1,NaN
156,"Apartments in Casco Viejo, San Felipe | Casco Viejo: panoramic roof terrace","B/.450,000.00",130,2,2,NaN
157,Apartments in San Francisco | SE VENDE APARTAMENTO EN TERRAWIND GANGA!! SAN FRANCISCO,"B/.190,000.00",124,3,3,1
158,Apartments in San Francisco | Apartamento en Venta San Francisco Amplio Acogedor Hermoso 23EP1124,"B/.560,000.00",308,3,4,NaN
159,Apartments in Santa María | Apartamento en Venta Santa Maria Lujosa Moderna Torre 22EP10683,"B/.870,500.00",322,3,4,2
160,Apartments in San Francisco | SE VENDE! LUJOSO APARTAMENTO PH PREMIUM TOWER,"B/.325,000.00",160,3,3,2
161,Apartments in Coco del Mar | GANGA!! VENTA DE APARTAMENTO EN SAN FRANCISCO,"B/.310,000.00",210,4,4.5,2
162,Apartments in San Francisco | Apartamento en venta san francisco Infinity #23-923 lcv,"B/.270,000.00
 (Reduced 45%)",175,3,2.5,2
163,Apartments in Vía Porras | Excelent Apartment,"B/.175,000.00",93,2,2,1
164,Apartments in Santa Ana | Apartamento,"B/.27,000.00",40,1,1,1
165,Apartments in Clayton | Sale of Apartment in Clayton,"B/.299,000.00",147,2,3.5,2
166,"Apartments in Costa del Este | ID 3231 AMPLIO BALCON Y ESPACIOS, 3.5 BAÑOS","B/.340,000.00
 (Reduced 3%)",185,3,3.5,2
167,"Apartments in San Francisco | ID 2903 LOFT AMPLIO, AMOBLADO, CERCA A MULTIPLAZA","B/.272,500.00
 (Reduced 1%)",176,3,3.5,2
168,Apartments in Coco del Mar | Apartment for sale in Coco del Mar - PH Icon Tower Cl-,"B/.290,000.00",2009,3,3,2
169,Apartments in Vía Porras | Furnished Apartment For Sale In San Francisco,"B/.170,000.00",86,2,2,1
170,Apartments in Santa María | Empire Residences 38B 925K The Most Trendy Project in Santa Maria,"B/.925,000.00",322,3,3.5,4
171,"Apartments in Costa Sur | Costa Sur, VENTA de Apartamento * Ericka","B/.219,900.00",126,2,2,2
172,"Apartments in Urbanización Don Bosco | SUPER INVERSIÓN DE APARTAMENTO AMOBLADO MYSTIC VILLAGE, DON BOSCO","B/.80,000.00
 (Reduced 7%)",61.62,2,2,1
173,"Apartments in Tumba Muerto | Vendo o alquilo Apto 2 recámaras, 2 baños, excelente estado y ubicación",B/.700.00,85,2,2,1
174,Apartments in Dorado Lake | 超级价格面议 Apt Condado del Rey 乡村俱乐部,"B/.188,000.00",105,3,3,1
175,Apartments in La Cresta | Vendo apartamento vista panorámica en la cresta 480 m2,"B/.510,000.00",480,3,4,4
176,Apartments in Costa del Este | P.H. BALI - APARTAMENTO DE 169m2 EN COSTA DEL ESTE,"B/.389,000.00",169,3,3,2
177,Apartments in Pedregal | Aptos Colina de la Riviera-Pedregal. OPORTUNIDAD !!!,"B/.75,900.00
 (Reduced 1%)",71,2,1,1
178,Apartments in San Francisco | Beautiful remodeled apartment at PH Serenity with ocean view,"B/.219,000.00",118,2,2,1
179,Apartments in 12 de Octubre | PH VICTORIA HILLS 116mts2,"B/.169,900.00
 (Reduced 3%)",116,3,2,1
180,Apartments in Hato Pintado | Se Vende Apartamento PH Victoria Hills en 12 de Octubre,"B/.160,000.00",106,3,2,1
181,"Apartments in Carrasquilla | Centric Apartment, with entrance to ""Parque Omar""","B/.175,000.00
 (Reduced 5%)",96,2,2,1
182,Apartments in Avenida Balboa | MIRAMAR TOWER - MODERN JUST REFURBISHED 2022,"B/.669,000.00
 (Reduced 2%)",375,3,3.5,3
183,"Apartments in Coco del Mar | BARGAI!! EXCELENT APARTMENT FOR SALE - Centric, at San Francisco","B/.200,000.00",87,2,2,1
184,Apartments in Costa Sur | VENDO APTO PLANTA BAJA PH TORRES DE VERSALLES. COSTA SUR,"B/.159,000.00",107,3,2,2
